customer_id,company_name,last_name,first_name,email,job_title,business_phone,Home Phone,Mobile Phone,Fax Number,address,city,state,zip_code,country,Web Page,Notes,Attachments,customer_name,region
1,Company A,Bedecs,Anna,,Owner,(123)555-0100,,,(123)555-0101,123 1st Street,Seattle,WA,99999,USA,,,0,Anna Bedecs,"WA, USA"
2,Company B,Gratacos Solsona,Antonio,,Owner,(123)555-0100,,,(123)555-0101,123 2nd Street,Boston,MA,99999,USA,,,0,Antonio Gratacos Solsona,"MA, USA"
3,Company C,Axen,Thomas,,Purchasing Representative,(123)555-0100,,,(123)555-0101,123 3rd Street,Los Angelas,CA,99999,USA,,,0,Thomas Axen,"CA, USA"
4,Company D,Lee,Christina,,Purchasing Manager,(123)555-0100,,,(123)555-0101,123 4th Street,New York,NY,99999,USA,,,0,Christina Lee,"NY, USA"
5,Company E,O’Donnell,Martin,,Owner,(123)555-0100,,,(123)555-0101,123 5th Street,Minneapolis,MN,99999,USA,,,0,Martin O’Donnell,"MN, USA"
6,Company F,Pérez-Olaeta,Francisco,,Purchasing Manager,(123)555-0100,,,(123)555-0101,123 6th Street,Milwaukee,WI,99999,USA,,,0,Francisco Pérez-Olaeta,"WI, USA"
7,Company G,Xie,Ming-Yang,,Owner,(123)555-0100,,,(123)555-0101,123 7th Street,Boise,ID,99999,USA,,,0,Ming-Yang Xie,"ID, USA"
8,Company H,Andersen,Elizabeth,,Purchasing Representative,(123)555-0100,,,(123)555-0101,123 8th Street,Portland,OR,99999,USA,,,0,Elizabeth Andersen,"OR, USA"
9,Company I,Mortensen,Sven,,Purchasing Manager,(123)555-0100,,,(123)555-0101,123 9th Street,Salt Lake City,UT,99999,USA,,,0,Sven Mortensen,"UT, USA"
10,Company J,Wacker,Roland,,Purchasing Manager,(123)555-0100,,,(123)555-0101,123 10th Street,Chicago,IL,99999,USA,,,0,Roland Wacker,"IL, USA"
11,Company K,Krschne,Peter,,Purchasing Manager,(123)555-0100,,,(123)555-0101,123 11th Street,Miami,FL,99999,USA,,,0,Peter Krschne,"FL, USA"
12,Company L,Edwards,John,,Purchasing Manager,(123)555-0100,,,(123)555-0101,123 12th Street,Las Vegas,NV,99999,USA,,,0,John Edwards,"NV, USA"
13,Company M,Ludick,Andre,,Purchasing Representative,(123)555-0100,,,(123)555-0101,456 13th Street,Memphis,TN,99999,USA,,,0,Andre Ludick,"TN, USA"
14,Company N,Grilo,Carlos,,Purchasing Representative,(123)555-0100,,,(123)555-0101,456 14th Street,Denver,CO,99999,USA,,,0,Carlos Grilo,"CO, USA"
15,Company O,Kupkova,Helena,,Purchasing Manager,(123)555-0100,,,(123)555-0101,456 15th Street,Honolulu,HI,99999,USA,,,0,Helena Kupkova,"HI, USA"
16,Company P,Goldschmidt,Daniel,,Purchasing Representative,(123)555-0100,,,(123)555-0101,456 16th Street,San Francisco,CA,99999,USA,,,0,Daniel Goldschmidt,"CA, USA"
17,Company Q,Bagel,Jean Philippe,,Owner,(123)555-0100,,,(123)555-0101,456 17th Street,Seattle,WA,99999,USA,,,0,Jean Philippe Bagel,"WA, USA"
18,Company R,Autier Miconi,Catherine,,Purchasing Representative,(123)555-0100,,,(123)555-0101,456 18th Street,Boston,MA,99999,USA,,,0,Catherine Autier Miconi,"MA, USA"
19,Company S,Eggerer,Alexander,,Accounting Assistant,(123)555-0100,,,(123)555-0101,789 19th Street,Los Angelas,CA,99999,USA,,,0,Alexander Eggerer,"CA, USA"
20,Company T,Li,George,,Purchasing Manager,(123)555-0100,,,(123)555-0101,789 20th Street,New York,NY,99999,USA,,,0,George Li,"NY, USA"
21,Company U,Tham,Bernard,,Accounting Manager,(123)555-0100,,,(123)555-0101,789 21th Street,Minneapolis,MN,99999,USA,,,0,Bernard Tham,"MN, USA"
22,Company V,Ramos,Luciana,,Purchasing Assistant,(123)555-0100,,,(123)555-0101,789 22th Street,Milwaukee,WI,99999,USA,,,0,Luciana Ramos,"WI, USA"
23,Company W,Entin,Michael,,Purchasing Manager,(123)555-0100,,,(123)555-0101,789 23th Street,Portland,OR,99999,USA,,,0,Michael Entin,"OR, USA"
24,Company X,Hasselberg,Jonas,,Owner,(123)555-0100,,,(123)555-0101,789 24th Street,Salt Lake City,UT,99999,USA,,,0,Jonas Hasselberg,"UT, USA"
25,Company Y,Rodman,John,,Purchasing Manager,(123)555-0100,,,(123)555-0101,789 25th Street,Chicago,IL,99999,USA,,,0,John Rodman,"IL, USA"
26,Company Z,Liu,Run,,Accounting Assistant,(123)555-0100,,,(123)555-0101,789 26th Street,Miami,FL,99999,USA,,,0,Run Liu,"FL, USA"
27,Company AA,Toh,Karen,,Purchasing Manager,(123)555-0100,,,(123)555-0101,789 27th Street,Las Vegas,NV,99999,USA,,,0,Karen Toh,"NV, USA"
28,Company BB,Raghav,Amritansh,,Purchasing Manager,(123)555-0100,,,(123)555-0101,789 28th Street,Memphis,TN,99999,USA,,,0,Amritansh Raghav,"TN, USA"
29,Company CC,Lee,Soo Jung,,Purchasing Manager,(123)555-0100,,,(123)555-0101,789 29th Street,Denver,CO,99999,USA,,,0,Soo Jung Lee,"CO, USA"
