Order ID,Employee,Customer,Order Date,Shipped Date,Ship Via,Ship Name,Ship Address,Ship City,Ship State/Province,Ship ZIP/Postal Code,Ship Country/Region,Shipping Fee,Taxes,Payment Type,Paid Date,Notes,Tax Rate,Tax Status,Status ID,Delivery Days
30,Anne Hellung-Larsen,Company AA,2006-01-15 00:00:00,2006-01-22,Shipping Company B,Karen Toh,789 27th Street,Las Vegas,NV,99999,USA,200,0,Check,2006-01-15,,0,,Closed,7.0
31,Jan Kotas,Company D,2006-01-20 00:00:00,2006-01-22,Shipping Company A,Christina Lee,123 4th Street,New York,NY,99999,USA,5,0,Credit Card,2006-01-20,,0,,Closed,2.0
32,Mariya Sergienko,Company L,2006-01-22 00:00:00,2006-01-22,Shipping Company B,John Edwards,123 12th Street,Las Vegas,NV,99999,USA,5,0,Credit Card,2006-01-22,,0,,Closed,0.0
33,Michael Neipper,Company H,2006-01-30 00:00:00,2006-01-31,Shipping Company C,Elizabeth Andersen,123 8th Street,Portland,OR,99999,USA,50,0,Credit Card,2006-01-30,,0,,Closed,1.0
34,Anne Hellung-Larsen,Company D,2006-02-06 00:00:00,2006-02-07,Shipping Company C,Christina Lee,123 4th Street,New York,NY,99999,USA,4,0,Check,2006-02-06,,0,,Closed,1.0
35,Jan Kotas,Company CC,2006-02-10 00:00:00,2006-02-12,Shipping Company B,Soo Jung Lee,789 29th Street,Denver,CO,99999,USA,7,0,Check,2006-02-10,,0,,Closed,2.0
36,Mariya Sergienko,Company C,2006-02-23 00:00:00,2006-02-25,Shipping Company B,Thomas Axen,123 3rd Street,Los Angelas,CA,99999,USA,7,0,Cash,2006-02-23,,0,,Closed,2.0
37,Laura Giussani,Company F,2006-03-06 00:00:00,2006-03-09,Shipping Company B,Francisco Pérez-Olaeta,123 6th Street,Milwaukee,WI,99999,USA,12,0,Credit Card,2006-03-06,,0,,Closed,3.0
38,Anne Hellung-Larsen,Company BB,2006-03-10 00:00:00,2006-03-11,Shipping Company C,Amritansh Raghav,789 28th Street,Memphis,TN,99999,USA,10,0,Check,2006-03-10,,0,,Closed,1.0
39,Jan Kotas,Company H,2006-03-22 00:00:00,2006-03-24,Shipping Company C,Elizabeth Andersen,123 8th Street,Portland,OR,99999,USA,5,0,Check,2006-03-22,,0,,Closed,2.0
40,Mariya Sergienko,Company J,2006-03-24 00:00:00,2006-03-24,Shipping Company B,Roland Wacker,123 10th Street,Chicago,IL,99999,USA,9,0,Credit Card,2006-03-24,,0,,Closed,0.0
41,Nancy Freehafer,Company G,2006-03-24 00:00:00,,,Ming-Yang Xie,123 7th Street,Boise,ID,99999,USA,0,0,,,,0,,New,
42,Nancy Freehafer,Company J,2006-03-24 00:00:00,2006-04-07,Shipping Company A,Roland Wacker,123 10th Street,Chicago,IL,99999,USA,0,0,,,,0,,Shipped,14.0
43,Nancy Freehafer,Company K,2006-03-24 00:00:00,,Shipping Company C,Peter Krschne,123 11th Street,Miami,FL,99999,USA,0,0,,,,0,,New,
44,Nancy Freehafer,Company A,2006-03-24 00:00:00,,,Anna Bedecs,123 1st Street,Seattle,WA,99999,USA,0,0,,,,0,,New,
45,Nancy Freehafer,Company BB,2006-04-07 00:00:00,2006-04-07,Shipping Company C,Amritansh Raghav,789 28th Street,Memphis,TN,99999,USA,40,0,Credit Card,2006-04-07,,0,,Closed,0.0
46,Robert Zare,Company I,2006-04-05 00:00:00,2006-04-05,Shipping Company A,Sven Mortensen,123 9th Street,Salt Lake City,UT,99999,USA,100,0,Check,2006-04-05,,0,,Closed,0.0
